name,popularity,genre
Shakira,"1,482",Pop
Oasis,"1,228",Pop
Charli XCX,"1,156",Pop
JoJo,"1,010",Pop
Avril Lavigne,825,Pop
Teddy Swims,751,Pop
Gigi Perez,602,Pop
Franz Ferdinand,571,Pop
Tate McRae,532,Pop
Dua Lipa,442,Pop
Foster the People,383,Pop
Gracie Abrams,351,Pop
Olivia Rodrigo,282,Pop
Devo,267,Pop
Cleo Sol,262,Pop
Cameron Winter,262,Pop
Empire of the Sun,257,Pop
Goo Goo Dolls,247,Pop
Simple Plan,246,Pop
Sleeping With Sirens,240,Pop
Ichiko Aoba,238,Pop
James Blunt,234,Pop
Ella Langley,233,Pop
Kylie Minogue,214,Pop
Joey McIntyre,213,Pop
Refused,838,Punk
Linkin Park,605,Punk
Ice Nine Kills,540,Punk
Nick Cave & The Bad Seeds,510,Punk
Pierce the Veil,447,Punk
Chiodos,418,Punk
Amyl and The Sniffers,406,Punk
Gang of Four,323,Punk
Dance Gavin Dance,276,Punk
Devo,267,Punk
Dropkick Murphys,266,Punk
Simple Plan,246,Punk
Dead Kennedys,243,Punk
Sleeping With Sirens,240,Punk
Skegss,149,Punk
The Front Bottoms,140,Punk
Billy Idol,131,Punk
The Damned,127,Punk
Armor for Sleep,126,Punk
The Linda Lindas,125,Punk
Thursday,119,Punk
Rise Against,116,Punk
Make Them Suffer,112,Punk
Bayside,108,Punk
Patti Smith,104,Punk
Dirty Projectors,97,Punk
Quicksand,96,Punk
Paleface Swiss,93,Punk
The Menzingers,90,Punk
The Red Jumpsuit Apparatus,88,Punk
Poison the Well,87,Punk
Bad Religion,85,Punk
Mary J. Blige,591,R&B&Soul
Hozier,521,R&B&Soul
Dua Lipa,442,R&B&Soul
Alicia Keys,356,R&B&Soul
Jorja Smith,354,R&B&Soul
The Weeknd,336,R&B&Soul
SZA,326,R&B&Soul
Cleo Sol,262,R&B&Soul
Red NOT Chili Peppers,221,R&B&Soul
Kylie Minogue,214,R&B&Soul
Beyoncé,184,R&B&Soul
Diana Ross,183,R&B&Soul
Alabama Shakes,170,R&B&Soul
Vulfpeck,140,R&B&Soul
Smino,122,R&B&Soul
Molly Grace,117,R&B&Soul
Tom Jones,115,R&B&Soul
Raye,105,R&B&Soul
grentperez,104,R&B&Soul
Cécile McLorin Salvant,97,R&B&Soul
Dirty Projectors,97,R&B&Soul
Dru Hill,95,R&B&Soul
Rauw Alejandro,351,Reggae
Rx Bandits,136,Reggae
J Balvin,119,Reggae
Kruder & Dorfmeister,84,Reggae
Goose (USA),66,Reggae
Tribal Seeds,60,Reggae
Pepper,51,Reggae
Dispatch,45,Reggae
Los Cafres,38,Reggae
Stick Figure,34,Reggae
Spice,33,Reggae
DENM,32,Reggae
Duki,30,Reggae
Slightly Stoopid,29,Reggae
The Amish Outlaws,27,Reggae
Iration,23,Reggae
Matisyahu,23,Reggae
Kill Lincoln,22,Reggae
Stephen Marley,22,Reggae
Simrit,21,Reggae
AFRO DOMINICANO,21,Reggae
Mephiskapheles,21,Reggae
Kabaka Pyramid,20,Reggae
C.R.O,19,Reggae
Maverick Sabre,18,Reggae
Catch 22,17,Reggae
Sizzla,15,Reggae
Dexta Daps,15,Reggae
The Toasters,15,Reggae
Korn,"3,015",Rock
Deftones,"2,798",Rock
Oasis,"1,228",Rock
Turnover,901,Rock
Avril Lavigne,825,Rock
Linkin Park,605,Rock
Disturbed,600,Rock
Billy Joel,574,Rock
Nine Inch Nails,551,Rock
Nick Cave & The Bad Seeds,510,Rock
Three Days Grace,496,Rock
Pierce the Veil,447,Rock
The Used,435,Rock
Stevie Nicks,424,Rock
Amyl and The Sniffers,406,Rock
Pixies,406,Rock
Death Cab for Cutie,404,Rock
Bright Eyes,399,Rock
Nathaniel Rateliff & The Night Sweats,376,Rock
St. Vincent,374,Rock
Palace,368,Rock
Snow Patrol,305,Rock
Puscifer,301,Rock
Dance Gavin Dance,276,Rock
Hollywood Undead,270,Rock
Dropkick Murphys,266,Rock
Heart,264,Rock
The Black Keys,264,Rock
Papa Roach,263,Rock
